Unnamed: 0,Supplier Name,Region,Country,Function,Service,Avg. Cost,Rating,Average Delivery Time,Number of escalations,Year,Resources,Score
84,Amazon,APAC,South Korea,HR,Telecommunications services,421100,83,333,61,2015,9736,43
85,Amazon,APAC,Saudi Arabia,HR,Telecommunications services,285500,80,311,111,2016,4881,55
86,Amazon,Europe,Germany,HR,Telecommunications services,377500,83,148,296,2017,4232,48
87,Amazon,APAC,Indonesia,HR,Telecommunications services,128200,90,125,35,2018,3157,80
88,Amazon,APAC,India,HR,Telecommunications services,314900,70,298,77,2019,6102,52
89,Amazon,APAC,India,HR,Telecommunications services,351300,78,433,188,2020,4229,43
90,Amazon,North America,US,HR,Software & Programming,303400,81,155,256,2015,8083,45
91,Amazon,APAC,UAE,HR,Software & Programming,346000,79,169,281,2016,3600,50
92,Amazon,North America,Canada,HR,Software & Programming,494200,89,345,159,2017,2095,50
93,Amazon,APAC,India,HR,Software & Programming,450700,73,453,166,2018,1635,44
94,Amazon,Europe,Switzerland,HR,Software & Programming,415600,93,366,156,2019,2990,51
95,Amazon,APAC,Indonesia,HR,Software & Programming,250100,71,213,125,2020,5123,57
96,Amazon,APAC,India,HR,Semiconductors,428400,76,448,233,2015,1578,42
97,Amazon,APAC,Taiwan,HR,Semiconductors,158000,81,219,125,2016,9234,55
98,Amazon,APAC,UAE,HR,Semiconductors,157700,79,429,62,2017,4207,60
99,Amazon,APAC,Saudi Arabia,HR,Semiconductors,378100,83,266,280,2018,4357,44
100,Amazon,Europe,Norway,HR,Semiconductors,123700,89,448,180,2019,6404,50
101,Amazon,APAC,South Korea,HR,Semiconductors,150600,74,240,86,2020,8024,58
102,Amazon,APAC,South Korea,HR,Recreational Products,292400,73,237,286,2015,9213,36
103,Amazon,APAC,Indonesia,HR,Recreational Products,342300,91,383,238,2016,8258,37
104,Amazon,APAC,Singapore,HR,Recreational Products,318600,83,191,169,2017,6323,53
105,Amazon,APAC,China,HR,Recreational Products,451200,94,462,80,2018,2767,52
106,Amazon,APAC,Saudi Arabia,HR,Recreational Products,422900,87,342,182,2019,7136,41
107,Amazon,Europe,Netherlands,HR,Recreational Products,366500,88,433,272,2020,1042,46
108,Amazon,APAC,Japan,HR,Internet & Catalog Retail,365300,84,247,122,2015,5571,54
109,Amazon,Europe,Netherlands,HR,Internet & Catalog Retail,228900,93,161,98,2016,2958,71
110,Amazon,APAC,Singapore,HR,Internet & Catalog Retail,357700,76,279,59,2017,8558,49
111,Amazon,Europe,Norway,HR,Internet & Catalog Retail,208100,73,115,146,2018,8599,55
112,Amazon,North America,US,HR,Internet & Catalog Retail,336800,84,453,62,2019,2497,56
113,Amazon,Europe,Netherlands,HR,Internet & Catalog Retail,426800,86,351,283,2020,4301,39
114,Amazon,APAC,India,HR,Health Care Equipment & Svcs,389200,87,325,258,2015,2467,47
115,Amazon,North America,US,HR,Health Care Equipment & Svcs,365400,80,157,116,2016,4608,59
116,Amazon,North America,Canada,HR,Health Care Equipment & Svcs,483600,78,383,79,2017,5844,44
117,Amazon,APAC,Singapore,HR,Health Care Equipment & Svcs,197600,73,192,176,2018,2488,63
118,Amazon,Europe,Germany,HR,Health Care Equipment & Svcs,373000,92,232,292,2019,8716,38
119,Amazon,North America,Canada,HR,Health Care Equipment & Svcs,119500,75,247,193,2020,7773,52
120,Amazon,APAC,India,HR,Electronics,433500,75,236,87,2015,5783,51
121,Amazon,APAC,Taiwan,HR,Electronics,174000,78,254,233,2016,4757,54
122,Amazon,APAC,Taiwan,HR,Electronics,446300,85,380,67,2017,1433,57
123,Amazon,Europe,Netherlands,HR,Electronics,473300,90,348,144,2018,7787,40
124,Amazon,APAC,India,HR,Electronics,468300,94,230,38,2019,1190,67
125,Amazon,Europe,France,HR,Electronics,368200,74,408,73,2020,7848,43
126,Amazon,Europe,Norway,HR,Electrical Equipment,119300,78,333,132,2015,5073,59
127,Amazon,APAC,Saudi Arabia,HR,Electrical Equipment,204400,83,270,243,2016,2215,57
128,Amazon,APAC,Taiwan,HR,Electrical Equipment,431200,93,472,37,2017,7588,45
129,Amazon,North America,US,HR,Electrical Equipment,347000,74,222,230,2018,1775,54
130,Amazon,Europe,Switzerland,HR,Electrical Equipment,121600,76,274,70,2019,1030,73
131,Amazon,APAC,Singapore,HR,Electrical Equipment,299300,94,447,268,2020,1488,48
132,Amazon,APAC,Australia,HR,Consumer Financial Services,269400,92,384,43,2015,9873,50
133,Amazon,APAC,Japan,HR,Consumer Financial Services,381000,92,454,37,2016,9569,44
134,Amazon,APAC,China,HR,Consumer Financial Services,191500,78,470,111,2017,8840,44
135,Amazon,North America,US,HR,Consumer Financial Services,244200,85,261,114,2018,7256,55
136,Amazon,APAC,Indonesia,HR,Consumer Financial Services,492800,70,377,216,2019,3103,39
137,Amazon,Europe,Norway,HR,Consumer Financial Services,337600,82,286,173,2020,2069,56
138,Amazon,Europe,Switzerland,HR,Computer Services,338800,84,305,251,2015,3888,47
139,Amazon,Europe,Norway,HR,Computer Services,336600,82,106,50,2016,4529,67
140,Amazon,APAC,Japan,HR,Computer Services,156700,88,459,254,2017,1985,52
141,Amazon,APAC,Indonesia,HR,Computer Services,357700,79,431,268,2018,5596,35
142,Amazon,Europe,Germany,HR,Computer Services,437900,73,351,96,2019,3181,50
143,Amazon,Europe,Norway,HR,Computer Services,415800,79,153,269,2020,1477,53
144,Amazon,North America,Canada,HR,Computer Hardware,421200,72,280,181,2015,9720,35
145,Amazon,Europe,France,HR,Computer Hardware,200400,76,119,227,2016,3129,62
146,Amazon,APAC,Saudi Arabia,HR,Computer Hardware,357700,73,470,160,2017,8640,34
147,Amazon,APAC,Singapore,HR,Computer Hardware,341900,93,372,90,2018,7003,50
148,Amazon,APAC,Japan,HR,Computer Hardware,317200,75,452,83,2019,1472,56
149,Amazon,Europe,Norway,HR,Computer Hardware,420300,83,397,208,2020,1635,47
150,Amazon,APAC,UAE,HR,Communications Equipment,111800,95,131,130,2015,3099,75
151,Amazon,APAC,India,HR,Communications Equipment,308200,79,415,120,2016,7362,44
152,Amazon,APAC,Australia,HR,Communications Equipment,308900,89,420,220,2017,1687,51
153,Amazon,Europe,Germany,HR,Communications Equipment,155400,71,172,94,2018,2084,71
154,Amazon,North America,US,HR,Communications Equipment,406600,78,480,33,2019,9011,40
155,Amazon,Europe,Netherlands,HR,Communications Equipment,426900,92,400,123,2020,5698,46
156,Amazon,APAC,Australia,HR,Business & Personal Services,243500,95,173,288,2015,3383,57
157,Amazon,APAC,Australia,HR,Business & Personal Services,145600,92,90,117,2016,9007,64
158,Amazon,Europe,Norway,HR,Business & Personal Services,230200,94,259,209,2017,2378,61
159,Amazon,APAC,UAE,HR,Business & Personal Services,272900,85,126,118,2018,9648,55
160,Amazon,Europe,Germany,HR,Business & Personal Services,438500,95,113,197,2019,7541,50
161,Amazon,APAC,China,HR,Business & Personal Services,419200,80,444,243,2020,3232,39
162,Amazon,Europe,Switzerland,HR,Broadcasting & Cable,229600,89,336,260,2015,7177,44
163,Amazon,APAC,Saudi Arabia,HR,Broadcasting & Cable,159600,93,206,32,2016,7675,67
164,Amazon,Europe,Germany,HR,Broadcasting & Cable,278400,91,406,264,2017,9009,35
165,Amazon,APAC,Saudi Arabia,HR,Broadcasting & Cable,487200,89,383,281,2018,4840,35
166,Amazon,APAC,Australia,HR,Broadcasting & Cable,481400,74,102,170,2019,8439,44
167,Amazon,APAC,China,HR,Broadcasting & Cable,448600,80,122,37,2020,9140,53
168,Apple,APAC,South Korea,HR,Telecommunications services,178100,73,367,37,2015,6944,57
169,Apple,APAC,South Korea,HR,Telecommunications services,146900,93,279,288,2016,5725,51
170,Apple,Europe,France,HR,Telecommunications services,424900,83,301,194,2017,2021,51
171,Apple,APAC,Indonesia,HR,Telecommunications services,365200,86,381,47,2018,7566,49
172,Apple,Europe,Netherlands,HR,Telecommunications services,164800,92,341,44,2019,9418,57
173,Apple,APAC,India,HR,Telecommunications services,203900,95,360,133,2020,9235,50
174,Apple,APAC,Saudi Arabia,HR,Software & Programming,116100,90,195,42,2015,7984,67
175,Apple,APAC,China,HR,Software & Programming,405600,94,300,226,2016,2884,50
176,Apple,APAC,Saudi Arabia,HR,Software & Programming,493400,76,131,185,2017,7601,43
177,Apple,Europe,Germany,HR,Software & Programming,195500,70,339,203,2018,1275,57
178,Apple,Europe,France,HR,Software & Programming,346200,75,311,127,2019,8085,44
179,Apple,APAC,UAE,HR,Software & Programming,239200,73,152,260,2020,5038,52
180,Apple,Europe,Switzerland,HR,Semiconductors,287700,89,178,33,2015,9327,59
181,Apple,APAC,India,HR,Semiconductors,495500,76,261,291,2016,5873,34
182,Apple,Europe,Switzerland,HR,Semiconductors,212100,83,299,236,2017,5611,50
183,Apple,APAC,Taiwan,HR,Semiconductors,428300,89,129,219,2018,9979,42
184,Apple,APAC,Singapore,HR,Semiconductors,349200,70,126,38,2019,2913,67
185,Apple,APAC,Japan,HR,Semiconductors,373800,89,334,151,2020,3705,52
186,Apple,APAC,UAE,HR,Recreational Products,383500,92,187,34,2015,8931,56
187,Apple,APAC,South Korea,HR,Recreational Products,438100,74,225,31,2016,6116,54
188,Apple,APAC,Australia,HR,Recreational Products,413300,90,471,125,2017,8332,38
189,Apple,APAC,Indonesia,HR,Recreational Products,317500,85,208,214,2018,2794,57
190,Apple,Europe,Netherlands,HR,Recreational Products,449400,78,389,270,2019,4662,35
191,Apple,APAC,Japan,HR,Recreational Products,282000,80,134,280,2020,6184,49
192,Apple,APAC,Japan,HR,Internet & Catalog Retail,363300,74,128,207,2015,7601,47
193,Apple,APAC,Saudi Arabia,HR,Internet & Catalog Retail,351700,80,230,222,2016,2002,54
194,Apple,North America,US,HR,Internet & Catalog Retail,490900,75,304,33,2017,8726,44
195,Apple,Europe,Switzerland,HR,Internet & Catalog Retail,477300,86,212,244,2018,9399,35
196,Apple,APAC,China,HR,Internet & Catalog Retail,491900,93,460,88,2019,8994,37
197,Apple,APAC,UAE,HR,Internet & Catalog Retail,201000,89,206,275,2020,7494,49
198,Apple,Europe,Switzerland,HR,Health Care Equipment & Svcs,158800,92,254,92,2015,4192,68
199,Apple,North America,Canada,HR,Health Care Equipment & Svcs,144200,74,398,136,2016,6331,51
200,Apple,APAC,UAE,HR,Health Care Equipment & Svcs,180600,71,374,133,2017,8591,46
201,Apple,North America,Canada,HR,Health Care Equipment & Svcs,401400,88,377,145,2018,5990,45
202,Apple,APAC,Australia,HR,Health Care Equipment & Svcs,462800,75,143,97,2019,1466,62
203,Apple,APAC,China,HR,Health Care Equipment & Svcs,377800,86,429,262,2020,4866,38
204,Apple,APAC,Australia,HR,Electronics,300900,73,177,99,2015,4275,61
205,Apple,Europe,Norway,HR,Electronics,420200,88,365,180,2016,8602,37
206,Apple,North America,Canada,HR,Electronics,115100,95,436,83,2017,7087,58
207,Apple,Europe,Norway,HR,Electronics,104000,94,441,120,2018,7561,54
208,Apple,APAC,Australia,HR,Electronics,417900,76,407,160,2019,6380,39
209,Apple,APAC,Taiwan,HR,Electronics,478300,75,127,186,2020,2410,54
210,Apple,APAC,Saudi Arabia,HR,Electrical Equipment,148700,84,266,248,2015,9474,45
211,Apple,Europe,Netherlands,HR,Electrical Equipment,176400,72,313,179,2016,8093,47
212,Apple,Europe,Germany,HR,Electrical Equipment,475800,87,251,45,2017,8673,48
213,Apple,Europe,Netherlands,HR,Electrical Equipment,405000,94,296,207,2018,5315,47
214,Apple,APAC,Saudi Arabia,HR,Electrical Equipment,125400,91,459,88,2019,2540,64
215,Apple,APAC,Japan,HR,Electrical Equipment,181600,84,104,150,2020,3854,68
216,Apple,Europe,Norway,HR,Consumer Financial Services,115200,75,144,216,2015,9997,51
217,Apple,APAC,Saudi Arabia,HR,Consumer Financial Services,177000,86,196,217,2016,7210,54
218,Apple,APAC,Singapore,HR,Consumer Financial Services,198800,81,272,270,2017,5758,48
219,Apple,North America,US,HR,Consumer Financial Services,149300,89,420,162,2018,6172,52
220,Apple,Europe,Netherlands,HR,Consumer Financial Services,348600,82,244,118,2019,9246,47
221,Apple,APAC,Saudi Arabia,HR,Consumer Financial Services,356700,77,177,290,2020,8258,39
222,Apple,Europe,Norway,HR,Computer Services,426100,84,336,231,2015,8110,35
223,Apple,APAC,Taiwan,HR,Computer Services,211600,87,334,78,2016,6195,58
224,Apple,APAC,Singapore,HR,Computer Services,258600,82,98,268,2017,7383,50
225,Apple,APAC,South Korea,HR,Computer Services,461100,77,258,263,2018,7588,34
226,Apple,Europe,Germany,HR,Computer Services,237000,79,261,276,2019,5647,47
227,Apple,APAC,Australia,HR,Computer Services,313000,80,333,152,2020,6944,46
228,Apple,Europe,Germany,HR,Computer Hardware,167800,95,207,66,2015,2979,74
229,Apple,APAC,Taiwan,HR,Computer Hardware,441100,86,179,184,2016,6046,49
230,Apple,APAC,UAE,HR,Computer Hardware,407100,78,477,148,2017,4153,42
231,Apple,APAC,Indonesia,HR,Computer Hardware,422300,89,349,61,2018,3355,57
232,Apple,Europe,Netherlands,HR,Computer Hardware,241000,93,417,66,2019,6939,54
233,Apple,APAC,Taiwan,HR,Computer Hardware,316000,75,412,101,2020,7617,44
234,Apple,APAC,India,HR,Communications Equipment,186500,77,142,143,2015,4597,64
235,Apple,Europe,France,HR,Communications Equipment,377300,73,113,153,2016,1382,63
236,Apple,Europe,Switzerland,HR,Communications Equipment,207800,73,442,84,2017,7314,48
237,Apple,APAC,Taiwan,HR,Communications Equipment,223400,85,435,122,2018,9122,44
238,Apple,APAC,UAE,HR,Communications Equipment,193400,88,324,144,2019,6338,55
239,Apple,Europe,Netherlands,HR,Communications Equipment,271100,88,332,98,2020,4550,58
240,Apple,Europe,Switzerland,HR,Business & Personal Services,350700,85,272,166,2015,3090,55
241,Apple,North America,US,HR,Business & Personal Services,128200,78,443,95,2016,9041,48
242,Apple,Europe,Switzerland,HR,Business & Personal Services,310000,91,312,95,2017,4309,59
243,Apple,APAC,China,HR,Business & Personal Services,391300,94,108,256,2018,6392,50
244,Apple,Europe,Netherlands,HR,Business & Personal Services,229000,70,325,53,2019,7949,53
245,Apple,APAC,Taiwan,HR,Business & Personal Services,458600,82,452,62,2020,7900,40
246,Apple,APAC,India,HR,Broadcasting & Cable,338800,70,402,112,2015,3739,49
247,Apple,APAC,Indonesia,HR,Broadcasting & Cable,421100,90,362,150,2016,2417,52
248,Apple,Europe,Germany,HR,Broadcasting & Cable,247600,75,143,89,2017,7546,59
249,Apple,North America,US,HR,Broadcasting & Cable,244300,78,271,126,2018,1783,63
250,Apple,APAC,Japan,HR,Broadcasting & Cable,111700,93,426,68,2019,5317,62
251,Apple,Europe,Norway,HR,Broadcasting & Cable,103900,90,379,125,2020,3644,63
252,CVS Health,APAC,Australia,Consulting,Telecommunications services,405200,93,361,54,2015,6224,52
253,CVS Health,APAC,Japan,Consulting,Telecommunications services,281400,90,158,249,2016,8740,47
254,CVS Health,Europe,Switzerland,Consulting,Telecommunications services,353900,74,97,247,2017,3918,53
255,CVS Health,APAC,UAE,Consulting,Telecommunications services,176100,76,221,39,2018,6035,65
256,CVS Health,APAC,South Korea,Consulting,Telecommunications services,443900,94,365,252,2019,4156,42
257,CVS Health,APAC,Australia,Consulting,Telecommunications services,124400,70,415,274,2020,3649,47
258,CVS Health,APAC,India,Consulting,Software & Programming,461800,78,348,91,2015,8907,40
259,CVS Health,APAC,Japan,Consulting,Software & Programming,150100,91,155,135,2016,1209,75
260,CVS Health,Europe,France,Consulting,Software & Programming,477900,77,399,233,2017,2631,40
261,CVS Health,APAC,Saudi Arabia,Consulting,Software & Programming,497700,79,196,57,2018,5386,54
262,CVS Health,Europe,Switzerland,Consulting,Software & Programming,249200,95,415,99,2019,5906,54
263,CVS Health,APAC,UAE,Consulting,Software & Programming,358800,90,466,187,2020,7155,38
264,CVS Health,Europe,Switzerland,Consulting,Semiconductors,186700,87,149,118,2015,6124,65
265,CVS Health,Europe,Switzerland,Consulting,Semiconductors,175900,81,173,296,2016,3782,56
266,CVS Health,North America,Canada,Consulting,Semiconductors,275700,94,150,247,2017,5404,55
267,CVS Health,APAC,Taiwan,Consulting,Semiconductors,370000,73,336,167,2018,1375,53
268,CVS Health,APAC,Australia,Consulting,Semiconductors,261300,83,387,91,2019,5934,53
269,CVS Health,APAC,Singapore,Consulting,Semiconductors,449000,77,477,238,2020,2729,37
270,CVS Health,APAC,India,Consulting,Recreational Products,433600,79,234,218,2015,4308,46
271,CVS Health,APAC,China,Consulting,Recreational Products,346100,81,381,145,2016,1391,55
272,CVS Health,North America,Canada,Consulting,Recreational Products,227100,78,478,209,2017,6922,40
273,CVS Health,Europe,Netherlands,Consulting,Recreational Products,440900,76,92,238,2018,2883,53
274,CVS Health,Europe,Norway,Consulting,Recreational Products,266100,74,179,78,2019,7581,57
275,CVS Health,APAC,South Korea,Consulting,Recreational Products,317400,90,421,141,2020,3470,52
276,CVS Health,APAC,South Korea,Consulting,Internet & Catalog Retail,269100,74,173,189,2015,3801,57
277,CVS Health,APAC,China,Consulting,Internet & Catalog Retail,259900,74,226,167,2016,3407,58
278,CVS Health,APAC,Taiwan,Consulting,Internet & Catalog Retail,117400,77,221,100,2017,4310,67
279,CVS Health,Europe,Germany,Consulting,Internet & Catalog Retail,300700,75,189,155,2018,7765,50
280,CVS Health,APAC,Indonesia,Consulting,Internet & Catalog Retail,255600,75,224,125,2019,6446,55
281,CVS Health,Europe,Netherlands,Consulting,Internet & Catalog Retail,339300,90,261,128,2020,9102,48
282,CVS Health,APAC,Indonesia,Consulting,Health Care Equipment & Svcs,420000,90,121,35,2015,1399,72
283,CVS Health,Europe,Germany,Consulting,Health Care Equipment & Svcs,456100,82,218,266,2016,3170,46
284,CVS Health,North America,Canada,Consulting,Health Care Equipment & Svcs,343500,92,345,122,2017,9417,44
285,CVS Health,North America,Canada,Consulting,Health Care Equipment & Svcs,230700,95,467,287,2018,9223,34
286,CVS Health,Europe,Switzerland,Consulting,Health Care Equipment & Svcs,192000,73,277,178,2019,4521,55
287,CVS Health,APAC,Singapore,Consulting,Health Care Equipment & Svcs,476300,81,367,30,2020,2311,56
288,CVS Health,APAC,Indonesia,Consulting,Electronics,150700,93,200,139,2015,6658,63
289,CVS Health,North America,US,Consulting,Electronics,327200,84,289,77,2016,6418,55
290,CVS Health,APAC,Saudi Arabia,Consulting,Electronics,415000,70,208,109,2017,2034,58
291,CVS Health,APAC,China,Consulting,Electronics,330300,87,301,295,2018,1184,51
292,CVS Health,APAC,Japan,Consulting,Electronics,198700,82,189,139,2019,4561,63
293,CVS Health,APAC,Taiwan,Consulting,Electronics,332300,77,315,76,2020,2576,60
294,CVS Health,APAC,UAE,Consulting,Electrical Equipment,389600,94,434,224,2015,4784,42
295,CVS Health,APAC,Indonesia,Consulting,Electrical Equipment,341000,77,315,228,2016,2758,49
296,CVS Health,APAC,South Korea,Consulting,Electrical Equipment,274600,78,458,162,2017,7419,41
297,CVS Health,APAC,South Korea,Consulting,Electrical Equipment,134200,86,134,114,2018,5895,68
298,CVS Health,APAC,Japan,Consulting,Electrical Equipment,497600,77,214,109,2019,7644,45
299,CVS Health,APAC,South Korea,Consulting,Electrical Equipment,250000,80,403,40,2020,8716,50
300,CVS Health,Europe,Germany,Consulting,Consumer Financial Services,417000,86,361,255,2015,5452,38
301,CVS Health,APAC,Indonesia,Consulting,Consumer Financial Services,392300,92,253,179,2016,2919,55
302,CVS Health,APAC,Japan,Consulting,Consumer Financial Services,201200,79,232,176,2017,4524,58
303,CVS Health,Europe,Switzerland,Consulting,Consumer Financial Services,197900,80,243,112,2018,7197,57
304,CVS Health,APAC,Singapore,Consulting,Consumer Financial Services,427100,81,111,62,2019,7436,56
305,CVS Health,North America,Canada,Consulting,Consumer Financial Services,483900,77,438,59,2020,7291,40
306,CVS Health,Europe,France,Consulting,Computer Services,253200,73,231,41,2015,6331,60
307,CVS Health,Europe,Germany,Consulting,Computer Services,232400,80,410,110,2016,6027,51
308,CVS Health,North America,Canada,Consulting,Computer Services,478300,82,324,81,2017,3049,53
309,CVS Health,APAC,Indonesia,Consulting,Computer Services,209900,75,181,296,2018,7434,45
310,CVS Health,Europe,Netherlands,Consulting,Computer Services,100900,81,375,74,2019,5458,62
311,CVS Health,Europe,Netherlands,Consulting,Computer Services,418500,71,120,282,2020,6801,41
