Supplier Name,Region,Country,Function,Service,Avg. Cost,Rating,Average Delivery Time,Number of escalations,Year,Resources,Score
Amazon,Europe,Germany,HR,Communications Equipment,155400,71,172,94,2018,2084,71
Amazon,North America,US,HR,Communications Equipment,406600,78,480,33,2019,9011,40
Amazon,Europe,Netherlands,HR,Communications Equipment,426900,92,400,123,2020,5698,46
Amazon,APAC,Australia,HR,Business & Personal Services,243500,95,173,288,2015,3383,57
Amazon,APAC,Australia,HR,Business & Personal Services,145600,92,90,117,2016,9007,64
Amazon,Europe,Norway,HR,Business & Personal Services,230200,94,259,209,2017,2378,61
Amazon,APAC,UAE,HR,Business & Personal Services,272900,85,126,118,2018,9648,55
Amazon,Europe,Germany,HR,Business & Personal Services,438500,95,113,197,2019,7541,50
Amazon,APAC,China,HR,Business & Personal Services,419200,80,444,243,2020,3232,39
Amazon,Europe,Switzerland,HR,Broadcasting & Cable,229600,89,336,260,2015,7177,44
Amazon,APAC,Saudi Arabia,HR,Broadcasting & Cable,159600,93,206,32,2016,7675,67
Amazon,Europe,Germany,HR,Broadcasting & Cable,278400,91,406,264,2017,9009,35
Amazon,APAC,Saudi Arabia,HR,Broadcasting & Cable,487200,89,383,281,2018,4840,35
Amazon,APAC,Australia,HR,Broadcasting & Cable,481400,74,102,170,2019,8439,44
Amazon,APAC,China,HR,Broadcasting & Cable,448600,80,122,37,2020,9140,53
Apple,APAC,South Korea,HR,Telecommunications services,178100,73,367,37,2015,6944,57
Apple,APAC,South Korea,HR,Telecommunications services,146900,93,279,288,2016,5725,51
Apple,Europe,France,HR,Telecommunications services,424900,83,301,194,2017,2021,51
Apple,APAC,Indonesia,HR,Telecommunications services,365200,86,381,47,2018,7566,49
Apple,Europe,Netherlands,HR,Telecommunications services,164800,92,341,44,2019,9418,57
Apple,APAC,India,HR,Telecommunications services,203900,95,360,133,2020,9235,50
Apple,APAC,Saudi Arabia,HR,Software & Programming,116100,90,195,42,2015,7984,67
Apple,APAC,China,HR,Software & Programming,405600,94,300,226,2016,2884,50
Apple,APAC,Saudi Arabia,HR,Software & Programming,493400,76,131,185,2017,7601,43
Apple,Europe,Germany,HR,Software & Programming,195500,70,339,203,2018,1275,57
Apple,Europe,France,HR,Software & Programming,346200,75,311,127,2019,8085,44
Apple,APAC,UAE,HR,Software & Programming,239200,73,152,260,2020,5038,52
Apple,Europe,Switzerland,HR,Semiconductors,287700,89,178,33,2015,9327,59
Apple,APAC,India,HR,Semiconductors,495500,76,261,291,2016,5873,34
Apple,Europe,Switzerland,HR,Semiconductors,212100,83,299,236,2017,5611,50
Apple,APAC,Taiwan,HR,Semiconductors,428300,89,129,219,2018,9979,42
Apple,APAC,Singapore,HR,Semiconductors,349200,70,126,38,2019,2913,67
Apple,APAC,Japan,HR,Semiconductors,373800,89,334,151,2020,3705,52
Apple,APAC,UAE,HR,Recreational Products,383500,92,187,34,2015,8931,56
Apple,APAC,South Korea,HR,Recreational Products,438100,74,225,31,2016,6116,54
Apple,APAC,Australia,HR,Recreational Products,413300,90,471,125,2017,8332,38
Apple,APAC,Indonesia,HR,Recreational Products,317500,85,208,214,2018,2794,57
Apple,Europe,Netherlands,HR,Recreational Products,449400,78,389,270,2019,4662,35
Apple,APAC,Japan,HR,Recreational Products,282000,80,134,280,2020,6184,49
Apple,APAC,Japan,HR,Internet & Catalog Retail,363300,74,128,207,2015,7601,47
Apple,APAC,Saudi Arabia,HR,Internet & Catalog Retail,351700,80,230,222,2016,2002,54
Apple,North America,US,HR,Internet & Catalog Retail,490900,75,304,33,2017,8726,44
Apple,Europe,Switzerland,HR,Internet & Catalog Retail,477300,86,212,244,2018,9399,35
Apple,APAC,China,HR,Internet & Catalog Retail,491900,93,460,88,2019,8994,37
Apple,APAC,UAE,HR,Internet & Catalog Retail,201000,89,206,275,2020,7494,49
Apple,Europe,Switzerland,HR,Health Care Equipment & Svcs,158800,92,254,92,2015,4192,68
Apple,North America,Canada,HR,Health Care Equipment & Svcs,144200,74,398,136,2016,6331,51
Apple,APAC,UAE,HR,Health Care Equipment & Svcs,180600,71,374,133,2017,8591,46
Apple,North America,Canada,HR,Health Care Equipment & Svcs,401400,88,377,145,2018,5990,45
Apple,APAC,Australia,HR,Health Care Equipment & Svcs,462800,75,143,97,2019,1466,62
Apple,APAC,China,HR,Health Care Equipment & Svcs,377800,86,429,262,2020,4866,38
Apple,APAC,Australia,HR,Electronics,300900,73,177,99,2015,4275,61
Apple,Europe,Norway,HR,Electronics,420200,88,365,180,2016,8602,37
Apple,North America,Canada,HR,Electronics,115100,95,436,83,2017,7087,58
Apple,Europe,Norway,HR,Electronics,104000,94,441,120,2018,7561,54
Apple,APAC,Australia,HR,Electronics,417900,76,407,160,2019,6380,39
Apple,APAC,Taiwan,HR,Electronics,478300,75,127,186,2020,2410,54
Apple,APAC,Saudi Arabia,HR,Electrical Equipment,148700,84,266,248,2015,9474,45
Apple,Europe,Netherlands,HR,Electrical Equipment,176400,72,313,179,2016,8093,47
Apple,Europe,Germany,HR,Electrical Equipment,475800,87,251,45,2017,8673,48
Apple,Europe,Netherlands,HR,Electrical Equipment,405000,94,296,207,2018,5315,47
Apple,APAC,Saudi Arabia,HR,Electrical Equipment,125400,91,459,88,2019,2540,64
Apple,APAC,Japan,HR,Electrical Equipment,181600,84,104,150,2020,3854,68
Apple,Europe,Norway,HR,Consumer Financial Services,115200,75,144,216,2015,9997,51
Apple,APAC,Saudi Arabia,HR,Consumer Financial Services,177000,86,196,217,2016,7210,54
Apple,APAC,Singapore,HR,Consumer Financial Services,198800,81,272,270,2017,5758,48
Apple,North America,US,HR,Consumer Financial Services,149300,89,420,162,2018,6172,52
Apple,Europe,Netherlands,HR,Consumer Financial Services,348600,82,244,118,2019,9246,47
Apple,APAC,Saudi Arabia,HR,Consumer Financial Services,356700,77,177,290,2020,8258,39
Apple,Europe,Norway,HR,Computer Services,426100,84,336,231,2015,8110,35
Apple,APAC,Taiwan,HR,Computer Services,211600,87,334,78,2016,6195,58
Apple,APAC,Singapore,HR,Computer Services,258600,82,98,268,2017,7383,50
Apple,APAC,South Korea,HR,Computer Services,461100,77,258,263,2018,7588,34
Apple,Europe,Germany,HR,Computer Services,237000,79,261,276,2019,5647,47
Apple,APAC,Australia,HR,Computer Services,313000,80,333,152,2020,6944,46
Apple,Europe,Germany,HR,Computer Hardware,167800,95,207,66,2015,2979,74
Apple,APAC,Taiwan,HR,Computer Hardware,441100,86,179,184,2016,6046,49
Apple,APAC,UAE,HR,Computer Hardware,407100,78,477,148,2017,4153,42
Apple,APAC,Indonesia,HR,Computer Hardware,422300,89,349,61,2018,3355,57
Apple,Europe,Netherlands,HR,Computer Hardware,241000,93,417,66,2019,6939,54
Apple,APAC,Taiwan,HR,Computer Hardware,316000,75,412,101,2020,7617,44
Apple,APAC,India,HR,Communications Equipment,186500,77,142,143,2015,4597,64
Apple,Europe,France,HR,Communications Equipment,377300,73,113,153,2016,1382,63
Apple,Europe,Switzerland,HR,Communications Equipment,207800,73,442,84,2017,7314,48
Apple,APAC,Taiwan,HR,Communications Equipment,223400,85,435,122,2018,9122,44
Apple,APAC,UAE,HR,Communications Equipment,193400,88,324,144,2019,6338,55
Apple,Europe,Netherlands,HR,Communications Equipment,271100,88,332,98,2020,4550,58
Apple,Europe,Switzerland,HR,Business & Personal Services,350700,85,272,166,2015,3090,55
Apple,North America,US,HR,Business & Personal Services,128200,78,443,95,2016,9041,48
Apple,Europe,Switzerland,HR,Business & Personal Services,310000,91,312,95,2017,4309,59
Apple,APAC,China,HR,Business & Personal Services,391300,94,108,256,2018,6392,50
Apple,Europe,Netherlands,HR,Business & Personal Services,229000,70,325,53,2019,7949,53
Apple,APAC,Taiwan,HR,Business & Personal Services,458600,82,452,62,2020,7900,40
Apple,APAC,India,HR,Broadcasting & Cable,338800,70,402,112,2015,3739,49
Apple,APAC,Indonesia,HR,Broadcasting & Cable,421100,90,362,150,2016,2417,52
Apple,Europe,Germany,HR,Broadcasting & Cable,247600,75,143,89,2017,7546,59
Apple,North America,US,HR,Broadcasting & Cable,244300,78,271,126,2018,1783,63
Apple,APAC,Japan,HR,Broadcasting & Cable,111700,93,426,68,2019,5317,62
Apple,Europe,Norway,HR,Broadcasting & Cable,103900,90,379,125,2020,3644,63
CVS Health,APAC,Australia,Consulting,Telecommunications services,405200,93,361,54,2015,6224,52
CVS Health,APAC,Japan,Consulting,Telecommunications services,281400,90,158,249,2016,8740,47
CVS Health,Europe,Switzerland,Consulting,Telecommunications services,353900,74,97,247,2017,3918,53
CVS Health,APAC,UAE,Consulting,Telecommunications services,176100,76,221,39,2018,6035,65
CVS Health,APAC,South Korea,Consulting,Telecommunications services,443900,94,365,252,2019,4156,42
CVS Health,APAC,Australia,Consulting,Telecommunications services,124400,70,415,274,2020,3649,47
CVS Health,APAC,India,Consulting,Software & Programming,461800,78,348,91,2015,8907,40
CVS Health,APAC,Japan,Consulting,Software & Programming,150100,91,155,135,2016,1209,75
CVS Health,Europe,France,Consulting,Software & Programming,477900,77,399,233,2017,2631,40
CVS Health,APAC,Saudi Arabia,Consulting,Software & Programming,497700,79,196,57,2018,5386,54
CVS Health,Europe,Switzerland,Consulting,Software & Programming,249200,95,415,99,2019,5906,54
CVS Health,APAC,UAE,Consulting,Software & Programming,358800,90,466,187,2020,7155,38
CVS Health,Europe,Switzerland,Consulting,Semiconductors,186700,87,149,118,2015,6124,65
CVS Health,Europe,Switzerland,Consulting,Semiconductors,175900,81,173,296,2016,3782,56
CVS Health,North America,Canada,Consulting,Semiconductors,275700,94,150,247,2017,5404,55
CVS Health,APAC,Taiwan,Consulting,Semiconductors,370000,73,336,167,2018,1375,53
CVS Health,APAC,Australia,Consulting,Semiconductors,261300,83,387,91,2019,5934,53
CVS Health,APAC,Singapore,Consulting,Semiconductors,449000,77,477,238,2020,2729,37
CVS Health,APAC,India,Consulting,Recreational Products,433600,79,234,218,2015,4308,46
CVS Health,APAC,China,Consulting,Recreational Products,346100,81,381,145,2016,1391,55
CVS Health,North America,Canada,Consulting,Recreational Products,227100,78,478,209,2017,6922,40
CVS Health,Europe,Netherlands,Consulting,Recreational Products,440900,76,92,238,2018,2883,53
CVS Health,Europe,Norway,Consulting,Recreational Products,266100,74,179,78,2019,7581,57
CVS Health,APAC,South Korea,Consulting,Recreational Products,317400,90,421,141,2020,3470,52
CVS Health,APAC,South Korea,Consulting,Internet & Catalog Retail,269100,74,173,189,2015,3801,57
CVS Health,APAC,China,Consulting,Internet & Catalog Retail,259900,74,226,167,2016,3407,58
CVS Health,APAC,Taiwan,Consulting,Internet & Catalog Retail,117400,77,221,100,2017,4310,67
CVS Health,Europe,Germany,Consulting,Internet & Catalog Retail,300700,75,189,155,2018,7765,50
CVS Health,APAC,Indonesia,Consulting,Internet & Catalog Retail,255600,75,224,125,2019,6446,55
CVS Health,Europe,Netherlands,Consulting,Internet & Catalog Retail,339300,90,261,128,2020,9102,48
CVS Health,APAC,Indonesia,Consulting,Health Care Equipment & Svcs,420000,90,121,35,2015,1399,72
CVS Health,Europe,Germany,Consulting,Health Care Equipment & Svcs,456100,82,218,266,2016,3170,46
CVS Health,North America,Canada,Consulting,Health Care Equipment & Svcs,343500,92,345,122,2017,9417,44
CVS Health,North America,Canada,Consulting,Health Care Equipment & Svcs,230700,95,467,287,2018,9223,34
CVS Health,Europe,Switzerland,Consulting,Health Care Equipment & Svcs,192000,73,277,178,2019,4521,55
CVS Health,APAC,Singapore,Consulting,Health Care Equipment & Svcs,476300,81,367,30,2020,2311,56
CVS Health,APAC,Indonesia,Consulting,Electronics,150700,93,200,139,2015,6658,63
CVS Health,North America,US,Consulting,Electronics,327200,84,289,77,2016,6418,55
CVS Health,APAC,Saudi Arabia,Consulting,Electronics,415000,70,208,109,2017,2034,58
CVS Health,APAC,China,Consulting,Electronics,330300,87,301,295,2018,1184,51
CVS Health,APAC,Japan,Consulting,Electronics,198700,82,189,139,2019,4561,63
CVS Health,APAC,Taiwan,Consulting,Electronics,332300,77,315,76,2020,2576,60
CVS Health,APAC,UAE,Consulting,Electrical Equipment,389600,94,434,224,2015,4784,42
CVS Health,APAC,Indonesia,Consulting,Electrical Equipment,341000,77,315,228,2016,2758,49
CVS Health,APAC,South Korea,Consulting,Electrical Equipment,274600,78,458,162,2017,7419,41
CVS Health,APAC,South Korea,Consulting,Electrical Equipment,134200,86,134,114,2018,5895,68
CVS Health,APAC,Japan,Consulting,Electrical Equipment,497600,77,214,109,2019,7644,45
CVS Health,APAC,South Korea,Consulting,Electrical Equipment,250000,80,403,40,2020,8716,50
CVS Health,Europe,Germany,Consulting,Consumer Financial Services,417000,86,361,255,2015,5452,38
CVS Health,APAC,Indonesia,Consulting,Consumer Financial Services,392300,92,253,179,2016,2919,55
CVS Health,APAC,Japan,Consulting,Consumer Financial Services,201200,79,232,176,2017,4524,58
CVS Health,Europe,Switzerland,Consulting,Consumer Financial Services,197900,80,243,112,2018,7197,57
CVS Health,APAC,Singapore,Consulting,Consumer Financial Services,427100,81,111,62,2019,7436,56
CVS Health,North America,Canada,Consulting,Consumer Financial Services,483900,77,438,59,2020,7291,40
CVS Health,Europe,France,Consulting,Computer Services,253200,73,231,41,2015,6331,60
CVS Health,Europe,Germany,Consulting,Computer Services,232400,80,410,110,2016,6027,51
CVS Health,North America,Canada,Consulting,Computer Services,478300,82,324,81,2017,3049,53
CVS Health,APAC,Indonesia,Consulting,Computer Services,209900,75,181,296,2018,7434,45
CVS Health,Europe,Netherlands,Consulting,Computer Services,100900,81,375,74,2019,5458,62
CVS Health,Europe,Netherlands,Consulting,Computer Services,418500,71,120,282,2020,6801,41
CVS Health,APAC,Indonesia,Consulting,Computer Hardware,280000,70,342,135,2015,3460,53
CVS Health,APAC,Singapore,Consulting,Computer Hardware,167900,76,480,189,2016,1171,54
CVS Health,APAC,India,Consulting,Computer Hardware,216200,82,389,58,2017,5810,57
CVS Health,APAC,India,Consulting,Computer Hardware,237600,88,290,171,2018,6015,54
CVS Health,APAC,China,Consulting,Computer Hardware,440300,88,150,140,2019,7637,50
CVS Health,APAC,India,Consulting,Computer Hardware,229900,86,123,260,2020,7644,51
CVS Health,Europe,Germany,Consulting,Communications Equipment,193500,89,112,155,2015,3023,70
CVS Health,Europe,Netherlands,Consulting,Communications Equipment,279000,76,152,152,2016,4057,60
CVS Health,Europe,Switzerland,Consulting,Communications Equipment,172200,92,317,148,2017,8242,53
CVS Health,Europe,France,Consulting,Communications Equipment,120100,80,120,231,2018,3197,65
CVS Health,Europe,Norway,Consulting,Communications Equipment,261800,71,418,202,2019,8574,36
CVS Health,APAC,Japan,Consulting,Communications Equipment,132900,71,200,204,2020,2892,62
CVS Health,APAC,China,Consulting,Business & Personal Services,102100,93,254,288,2015,1826,62
CVS Health,APAC,Saudi Arabia,Consulting,Business & Personal Services,397900,85,330,69,2016,5487,53
CVS Health,APAC,Australia,Consulting,Business & Personal Services,279400,80,394,231,2017,7536,39
